name,flow_count,active_fraction,world_size,turn_weight,frames,seed,frame_p50_ms,frame_p99_ms,collect_p50_us,step_p50_us,apply_p50_us,turns_per_sec,turns_completed,flow_anomalies,rss_before_kb,rss_after_kb,rss_delta_kb,cow_copies,arc_clones
parallel-1,1,0.7,0,medium,30,6696299594754542334,0.0601,0.4167,0.0000,11.2080,0.3330,13434.59,30,0,34336,34832,496,0,0
parallel-100,100,0.7,0,medium,30,6696299594754542334,0.2658,0.6010,0.0000,196.5000,11.8340,255418.74,2100,0,35200,37376,2176,0,0
parallel-1k,1000,0.7,0,medium,30,6696299594754542334,1.5788,2.0795,0.0000,1411.5830,98.9170,434051.69,21000,0,38576,54624,16048,0,0
parallel-10k,10000,0.7,0,medium,30,6696299594754542334,15.0135,18.5046,0.0000,13818.4170,1042.7920,454145.82,210000,0,66960,223888,156928,0,0
parallel-100-light,100,0.7,0,light,30,6696299594754542334,0.1789,0.5063,0.0000,114.5410,11.7090,369582.71,2100,0,223920,223920,0,0,0
parallel-100-heavy,100,0.7,0,heavy,30,6696299594754542334,0.3338,0.5793,0.0000,267.5000,12.1250,205763.82,2100,0,223936,225104,1168,0,0
