name,flow_count,active_fraction,world_size,turn_weight,frames,seed,frame_p50_ms,frame_p99_ms,collect_p50_us,step_p50_us,apply_p50_us,turns_per_sec,turns_completed,flow_anomalies,rss_before_kb,rss_after_kb,rss_delta_kb,cow_copies,arc_clones
batch-1,1,0.7,0,medium,30,6696299594754542334,0.0581,0.3895,0.0000,6.3330,0.3340,14268.42,30,0,34240,34576,336,0,0
batch-100,100,0.7,0,medium,30,6696299594754542334,0.2690,0.5615,0.0000,207.3330,10.0000,247010.35,2100,0,34880,36704,1824,0,0
batch-1k,1000,0.7,0,medium,30,6696299594754542334,2.1217,2.6799,0.0000,1969.5410,84.7500,320504.46,21000,0,37872,53584,15712,0,0
batch-10k,10000,0.7,0,medium,30,6696299594754542334,22.4470,28.0840,0.0000,21418.7920,861.2910,305740.76,210000,0,65344,219760,154416,0,0
batch-100-light,100,0.7,0,light,30,6696299594754542334,0.1560,0.4420,0.0000,94.0000,10.0840,418111.47,2100,0,219792,219808,16,0,0
batch-100-heavy,100,0.7,0,heavy,30,6696299594754542334,0.4282,0.6670,0.0000,367.6250,10.1250,158942.44,2100,0,219856,220992,1136,0,0
