name,flow_count,active_fraction,world_size,turn_weight,frames,seed,frame_p50_ms,frame_p99_ms,collect_p50_us,step_p50_us,apply_p50_us,turns_per_sec,turns_completed,flow_anomalies,rss_before_kb,rss_after_kb,rss_delta_kb,cow_copies,arc_clones
serial-1,1,0.7,0,medium,30,6696299594754542334,0.0603,0.3725,0.0420,6.1670,0.0420,13869.35,30,0,31760,31920,160,0,0
serial-100,100,0.7,0,medium,30,6696299594754542334,0.3167,0.4881,0.1670,253.6660,0.0410,211792.25,2100,0,32304,33856,1552,0,0
serial-1k,1000,0.7,0,medium,30,6696299594754542334,2.0944,2.7816,1.1660,1942.1670,0.0410,319351.75,21000,0,34528,49328,14800,0,0
serial-10k,10000,0.7,0,medium,30,6696299594754542334,20.8804,27.9882,11.7090,19888.1670,0.0410,328490.04,210000,0,56192,203216,147024,0,0
serial-100-light,100,0.7,0,light,30,6696299594754542334,0.1404,0.2734,0.1660,90.9580,0.0410,477385.46,2100,0,203328,203328,0,0,0
serial-100-heavy,100,0.7,0,heavy,30,6696299594754542334,0.4171,0.5392,0.1660,347.8330,0.0410,164874.00,2100,0,203392,204528,1136,0,0
